20;10;310;0;8
20;11;310;3;14
20;12;310;2;8
21;1;356;6;16
21;2;357;2;16
21;3;357;7;23
21;4;357;4;20
21;5;352;3;25
21;6;355;3;26
21;7;355;5;11
21;8;356;2;22
21;9;355;3;46
21;10;355;4;26
21;11;354;5;29
21;12;355;4;32
22;1;284;6;24
22;2;285;4;19
22;3;285;7;20
22;4;285;2;15
22;5;280;8;21
22;6;282;2;19
22;7;280;4;11
22;8;279;5;6
22;9;279;4;8
22;10;281;8;12
22;11;279;5;16
22;12;276;5;8
23;1;386;3;19
23;2;385;2;18
23;3;385;2;25
23;4;385;6;14
23;5;380;4;17
23;6;380;4;17
23;7;377;4;11
23;8;377;4;16
23;9;377;5;9
23;10;377;3;14
23;11;375;3;14
23;12;372;3;18
24;1;365;16;29
24;2;364;3;26
24;3;364;10;40
24;4;364;7;38
24;5;357;11;21
24;6;356;6;30
24;7;354;7;28
24;8;351;5;27
24;9;349;12;25
24;10;349;7;38
24;11;346;9;38
24;12;346;15;39
25;1;304;5;15
25;2;304;2;21
25;3;304;1;20
25;4;304;2;11
25;5;299;3;17
25;6;295;1;19
25;7;294;3;21
25;8;291;1;34
25;9;291;5;23
25;10;292;3;19
25;11;289;3;19
25;12;288;3;18
26;1;578;17;136
26;2;579;6;131
26;3;579;13;146
26;4;579;11;160
26;5;577;5;207
26;6;579;6;178
26;7;578;11;170
26;8;581;16;173
26;9;582;12;142
26;10;581;15;171
26;11;618;12;208
26;12;617;14;162
